Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,6726
Base Time Seconds,1731599641
Base Time Fractional,.812043560
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,158.1950453941,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999306201935,Volt DC,1,T,2W,F,F,11/14/2024,15:54:01,.812043560
2,158.1924788229,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:01,.894717760
3,158.1896487597,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:01,.977363580
4,158.1861967584,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.060015460
5,158.1820279975,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.142660240
6,158.1770777467,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999287128448,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.225288100
7,158.1722625569,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.307935800
8,158.1671076631,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.390577380
9,158.1610805115,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.473210760
10,158.1551442404,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.555863300
11,158.1488573247,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999296665192,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.638502940
12,158.1423978921,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.721127340
13,158.1358691146,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.803780180
14,158.1287963677,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.886421740
15,158.1221478437,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:02,.969050280
16,158.1144881262,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999306201935,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.051714520
17,158.1071456681,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.134348220
18,158.0994480605,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999306201935,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.216995880
19,158.0920676414,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.299630920
20,158.0842800635,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.382258020
21,158.0765708003,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.464902220
22,158.068982554,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.547535360
23,158.0607351778,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.630186980
24,158.05278505,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.712825940
25,158.0443660318,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.795480980
26,158.0368727801,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.878123740
27,158.0288596995,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:03,.960761940
28,158.0203795111,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.043412980
29,158.0126355224,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.126045780
30,158.0044256376,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999296665192,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.208690400
31,157.9960106034,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.291320200
32,157.9878882282,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.373965040
33,157.9795647038,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.456601820
