Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,5160
Base Time Seconds,1732190807
Base Time Fractional,.294083880
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,115.3062691887,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999341964722,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.294083880
2,115.3062251102,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999351501465,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.376745580
3,115.3061219581,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999344348907,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.459384520
4,115.3062251102,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999351501465,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.542026860
5,115.3059747278,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999346733093,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.624673400
6,115.3058660094,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999351501465,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.707319780
7,115.3057091236,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999358654022,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.789959320
8,115.3058797554,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999353885651,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.872613700
9,115.3056348274,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999358654022,Volt DC,1,T,2W,F,F,11/21/2024,12:06:47,.955253100
10,115.305447724,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999356269836,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.037898400
11,115.3054050098,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999368190765,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.120536600
12,115.3054877118,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999339580536,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.203189040
13,115.3053637721,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999361038208,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.285839760
14,115.3052138174,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999358654022,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.368479640
15,115.3050033135,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999358654022,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.451118180
16,115.3049895676,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999356269836,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.533777940
17,115.3049922943,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999361038208,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.616427160
18,115.3046978404,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999365806580,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.699074000
19,115.3046250212,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999346733093,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.781711700
20,115.3046978404,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999365806580,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.864355960
21,115.3042905831,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999368190765,Volt DC,1,T,2W,F,F,11/21/2024,12:06:48,.946996080
22,115.3043511318,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999365806580,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.029649080
23,115.3044103172,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999361038208,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.112289880
24,115.3043566974,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999353885651,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.194940120
25,115.3042121986,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999361038208,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.277596400
26,115.3041048475,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999368190765,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.360240440
27,115.3038834404,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999349117279,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.442877920
28,115.3040498644,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999358654022,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.525514940
29,115.3038076716,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999368190765,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.608150460
30,115.3036275025,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999356269836,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.690796860
31,115.3035683181,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999361038208,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.773446880
32,115.3034665333,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999356269836,Volt DC,1,T,2W,F,F,11/21/2024,12:06:49,.856086900
